part_id,region,failure_date
P001,North,2019-01-13
P001,North,2019-01-27
P001,North,2019-01-29
P001,North,2019-02-01
P001,North,2019-02-05
P001,North,2019-03-06
P001,North,2019-03-27
P001,North,2019-04-16
P001,North,2019-04-16
P001,North,2019-05-04
P001,North,2019-05-08
P001,North,2019-07-06
P001,North,2019-07-08
P001,North,2019-07-19
P001,North,2019-08-05
P001,North,2019-08-25
P001,North,2019-09-24
P001,North,2019-10-02
P001,North,2019-10-12
P001,North,2019-10-18
P001,North,2019-10-21
P001,North,2019-12-11
P001,North,2019-12-11
P001,North,2019-12-15
P001,North,2019-12-21
P001,North,2019-12-24
P001,North,2019-12-28
P001,North,2019-12-30
P001,North,2020-01-07
P001,North,2020-01-22
P001,North,2020-01-24
P001,North,2020-02-06
P001,North,2020-02-07
P001,North,2020-02-17
P001,North,2020-03-03
P001,North,2020-03-17
P001,North,2020-04-01
P001,North,2020-04-18
P001,North,2020-04-30
P001,North,2020-05-17
P001,North,2020-05-18
P001,North,2020-05-20
P001,North,2020-05-24
P001,North,2020-06-02
P001,North,2020-06-14
P001,North,2020-06-21
P001,North,2020-06-22
P001,North,2020-08-16
P001,North,2020-08-18
P001,North,2020-08-30
P001,North,2020-09-28
P001,North,2020-10-12
P001,North,2020-10-19
P001,North,2020-11-09
P001,North,2020-11-16
P001,North,2020-12-04
P001,North,2020-12-07
P001,North,2020-12-16
P001,North,2020-12-21
P001,North,2020-12-27
P001,North,2021-01-03
P001,North,2021-01-04
P001,North,2021-02-24
P001,North,2021-03-24
P001,North,2021-04-01
P001,North,2021-04-03
P001,North,2021-04-05
P001,North,2021-04-05
P001,North,2021-04-12
P001,North,2021-05-07
P001,North,2021-05-21
P001,North,2021-06-07
P001,North,2021-06-21
P001,North,2021-07-25
P001,North,2021-07-31
P001,North,2021-08-17
P001,North,2021-08-21
P001,North,2021-09-04
P001,North,2021-09-20
P001,North,2021-09-26
P001,North,2021-10-01
P001,North,2021-10-02
P001,North,2021-10-09
P001,North,2021-10-15
P001,North,2021-11-02
P001,North,2021-11-30
P001,North,2021-12-02
P001,North,2021-12-09
P001,North,2022-01-07
P001,North,2022-01-26
P001,North,2022-01-27
P001,North,2022-02-09
P001,North,2022-02-09
P001,North,2022-02-18
P001,North,2022-03-06
P001,North,2022-03-15
P001,North,2022-03-26
